,0
SPY,0.05213602383669118
IVV,0.051044580543523455
VTI,0.0549558072939484
VOO,0.04991265282141269
QQQ,0.11792387662581455
VEA,0.03374507876570116
IEFA,0.03519756864675163
AGG,0.0015016217280683804
VTV,0.11700756731029324
VUG,0.08879746496321271
BND,0.0015301654290568259
VWO,0.04379104375813226
IWF,0.09633237919777418
IEMG,0.04350537976873568
IJR,0.17124355866314964
VIG,0.04670588325321707
IWM,0.17386123592733843
IJH,0.17907005210549837
VO,0.08579382393668872
IWD,0.1193697549003455
VGT,0.09434701838690328
EFA,0.03637273023458543
GLD,0.04081119733259039
XLK,0.08658452008507464
VXUS,0.038708597695106615
VB,0.17670908089943965
VNQ,0.036510860589363495
VCIT,0.0020767938873453256
BNDX,0.0009044761756458065
ITOT,0.059828669981215846
XLF,0.14891610858324594
IVW,0.09080672951074306
BSV,0.0014783451664434726
VYM,0.11093276669504029
VCSH,0.0004618037099990386
TIP,0.0022528929876122926
LQD,0.004689311088800685
VEU,0.03692964882130471
SCHX,0.05740642474595468
XLV,0.026510788693748077
RSP,0.1378833117622556
IXUS,0.0324331005002288
IWB,0.04931612948302555
IWR,0.15213050171871212
SCHD,0.07626852006996726
USMV,0.02490629276357806
DIA,0.060898882547318914
EEM,0.04672328891401645
SCHF,0.033258683384796824
IAU,0.039813053853614506
VV,0.058089246098837706
VBR,0.15168249548577611
MBB,0.0017913618299349422
VT,0.039677562751017824
XLE,0.1911840378532774
IVE,0.0826098953586195
QUAL,0.04147560457269873
XLY,0.04944467440049867
ESGU,0.04865065701845523
MUB,0.0007094871565731876
SCHB,0.06005377447245632
DGRO,0.11177663234208442
IGSB,0.0006239980632539639
VGK,0.039236889256976354
MDY,0.17463848688623435
SCHP,0.00216795360329901
SDY,0.11497755526503395
TQQQ,0.7396060612851825
PFF,0.03909257609649157
SHY,0.2426693850161821
HYG,0.009106879769380514
EMB,0.009121769292961969
DVY,0.108914241999796
VTIP,0.0004362298709918224
TLT,0.020442471070338263
VXF,0.10758746285392698
JPST,0.0015661822178178089
SPYG,0.0827184336731015
SCHG,0.09841494804594535
XLI,0.07460702380711254
IEF,0.003242663451676432
VHT,0.02941506616766444
ACWI,0.038974318097512256
VBK,0.06224752776754444
ARKK,0.15356652432359072
SCHA,0.18756314557290094
IUSB,0.0012439553999025795
VOE,0.14747753906091374
GOVT,0.002114396601110364
IWP,0.060863501771781604
VLUE,0.060759930005436946
IWN,0.14914062201193362
SPYV,0.07009163134733216
VMBS,0.0007042923160298567
EFV,0.03881028606066682
IWS,0.12721576141106933
IUSG,0.07652809500092642
SCZ,0.026432275722866598
MTUM,0.2017754716420176
VTEB,0.0007508171524132721
GSLC,0.05018716449202834
BIV,0.002096896343318025
XLC,0.06743570593758628
MGK,0.10488835557590695
SPLG,0.048528631604327584
VGSH,0.00011521117347371452
MINT,0.007088929638873061
BIL,17.7019433649553
EFG,0.03246515791055571
XLU,0.03047960927959141
XLP,0.022766227863295258
VOT,0.06966282127142474
SHV,0.0009917946965397712
FVD,0.09609973075867172
IWV,0.059603217998954475
GDX,0.13633162126753362
SPDW,0.039736364459287264
IUSV,0.08005082327558513
EWJ,0.04314030535531164
IWO,0.07596451289297616
VFH,0.17081463038504302
SLV,0.2634923678244603
IGIB,0.0019295415626330195
FDN,0.09281310321756849
IEI,0.0015907498766330908
IYW,0.09530863185023872
SCHV,0.11402289066869208
IJJ,0.18056524025036902
SOXX,0.11132999848067827
SCHM,0.15609751784389297
IBB,0.05818001088649772
VSS,0.027850727907323618
IHI,0.037146987177943964
IJS,0.1702762369405152
NOBL,0.11728800446086955
VGIT,0.0015936756421665573
BBEU,0.03708254773678491
OEF,0.04421297794482186
FTCS,0.03468437643078115
IJK,0.14692757438557635
SCHZ,0.001445888834078479
SCHO,3.795158329440315e-05
SCHE,0.044712827432261855
STIP,0.00041755740815206633
JNK,0.008463506855979885
FNDX,0.10212703195679372
VOOG,0.0874064005275828
USHY,0.05194849313854845
SRLN,0.0057826971062632975
SPLV,0.01991877988708033
VONG,0.09317229052757492
EFAV,0.015412314646006762
SMH,0.10633481582656727
BBJP,0.043445979732704594
SPSB,0.00020189467307982594
XLB,0.07303687718989704
MOAT,0.04674112910189085
FPE,0.008216505389985572
RDVY,0.0858128300273926
KWEB,0.11261026440575365
HDV,0.08744928456835384
PGX,0.008536118291081602
VCR,0.08233782795219366
ESGD,0.031612793636234704
EZU,0.05490643705122943
FLOT,7.852373850822286e-05
VONV,0.12548440095118116
FTEC,0.0885806914497474
EWT,0.055445503650790776
DGRW,0.03687002562067468
VTWO,0.17273359349055067
FNDF,0.05306617372614598
SCHH,0.03801037736785047
SUB,0.00023419731943153456
USIG,0.002739651973353122
XBI,0.10613146451603192
IJT,0.12073835904208166
IDEV,0.05296388267714706
SKYY,0.06841526114039352
IYR,0.034756194165663806
VDC,0.025262892162475663
SPAB,0.0014784287058129378
QLD,0.3791676727700695
ISTB,0.000301385101376808
CWB,0.09116575807861493
GUNR,0.07503140958305983
LMBS,0.0002019696855523855
ESGE,0.0456654686690637
IGV,0.08915895819022915
ESGV,0.052465058144454194
BLV,0.011951040179163612
BKLN,0.0021225620712155787
SPTM,0.053150365160909915
BBCA,0.05629964340336239
ICSH,0.0002381652710951886
VDE,0.17632090939820197
IXN,0.06801016519061875
MCHI,0.06409621749975898
SOXL,0.8993715254462117
ICLN,0.2199400024650865
VPL,0.033036888736672945
LIT,0.2966180004905899
INDA,0.05818734614741152
QYLD,0.0888963670833707
XLRE,0.033039221816991614
SPIB,0.0010180890864512119
PRF,0.1159892210507425
ACWV,0.015832272660199664
SPEM,0.043040056154082254
CIBR,0.05649349687980608
SPMD,0.135933819932435
VPU,0.030698296713302185
PAVE,0.24114920328429498
SHYG,0.004508832538094794
VCLT,0.011114502339835018
SPYD,0.11938928759372824
IEUR,0.033068035402483105
ARKG,0.1946244554884921
FIXD,0.0015364328594782357
VIS,0.08776310055678893
SLYV,0.18282479029602333
ANGL,0.010465477090014573
SHM,0.0002442782720316024
FNDA,0.15813630884715618
VNQI,0.02299634648410331
MGV,0.08570332912418123
IWY,0.10608532541853846
FALN,0.007693737052340152
SSO,0.1762161114551307
SPTL,0.01865470452465967
FXI,0.05957562900547832
AMLP,0.19174928951747475
FNDE,0.04009850194363868
EWZ,0.15319851952250996
KRE,0.20301655559418638
ONEQ,0.08375653315045144
RPG,0.09802560423945027
ACWX,0.03403190642584609
NEAR,0.0018679489953337106
SUSA,0.04795045609110586
EWY,0.0663802054681909
SPSM,0.1643109868812558
QTEC,0.0817910735778914
PDBC,0.033036176280883726
MGC,0.04870193024346978
IDV,0.034309840703416
BOND,0.0011709277748107921
SJNK,0.002691638083771028
GDXJ,0.19492742733356727
GLDM,0.03656590761686055
FTSM,0.0002048068315451129
DBEF,0.03254628688781902
SPMB,0.0011655298824862546
VIGI,0.024016757575045962
VOX,0.058547874128185476
TFI,0.0008435355498557684
XT,0.03460408790606215
AAXJ,0.04537034620657403
SPHQ,0.04851052092814876
DSI,0.04815451659068202
VAW,0.09092994577086358
IQLT,0.02912953563495502
BBAX,0.03150310322663223
IGM,0.11273056088498574
ARKW,0.14206135219409755
XSOE,0.0475558522344223
SPTS,0.0011869167342462691
IAGG,0.0008438794978118427
EWC,0.046334227285213615
IOO,0.03707263006915757
SPXL,0.3570916970713787
TECL,0.6496925784586236
EEMV,0.021078741928935364
HYD,0.004805586552847624
SCHC,0.025870997652647606
SPIP,0.002449239513724358
IXJ,0.023424193512218503
FAS,1.2252372054637595
UPRO,0.3571155147462556
RPV,0.1310231405474346
REET,0.03537801219284288
SCHR,0.0016179189809391748
SPTI,0.0014829213014190355
